ID,sex,age_years,years_in_education,highest_education_level,SEGM_AL_RT,SEGM_AL_offline,SEGM_VN_RT,SEGM_VN_offline,AGL_RT,AGL_offline,NAD_RT,NAD_offline,PS_vis_RT,PS_ac_RT,PS_vis_dec_RT,PS_ac_dec_RT,DS_forward,DS_backward,nback,simon_RT,stroop_RT,gram_sens,omr,pred_RT,GP_proc,violation_proc,pragm
1001,female,21.65555556,15.0,secondary,0.21077749999385276,0.5138888888888888,,,,,,,0.258585,0.3431975,0.7211449999999999,,8.0,5.0,2.6468895226666667,0.098695,0.507285,0.6153846153846154,280.0,0.8531620000142213,0.07675625,0.2451456249999999,0.7222222222222222
1002,male,24.35555556,17.0,secondary,0.1484999999999976,0.7083333333333333,,,,,,,0.268,0.3135,0.853,,7.0,6.0,1.9116923183333334,0.0439999999999999,0.1375,0.6153846153846154,470.0,0.5435989999999908,-0.17,0.0623333333333333,0.7777777777777778
1004,female,22.97777778,16.0,secondary,0.2048750000000092,0.5972222222222222,,,,,,,0.2579,0.29685,0.7018,,7.0,7.0,1.029167881,0.04985,0.1878999999999999,0.7692307692307693,312.0,0.8944515000000135,0.1752,-0.0282333333333333,0.8888888888888888
1102,female,30.47222222,16.0,BA_BSc,-0.06909000000175115,0.5555555555555556,,,,,,,0.2893325,0.453185,1.259065,,7.0,5.0,0.9687530283333335,0.0218174999999999,0.415385,1.0,393.0,0.7796239999999864,-0.1046038888888888,-0.0510692857142857,0.8333333333333334
1103,male,27.63333333,18.0,BA_BSc,0.081202500000319,0.7222222222222223,,,,,,,0.31213,0.3039775,0.76795,,6.0,5.0,2.8370787973333336,0.0428249999999998,0.16562,0.6923076923076923,294.0,0.727317000001007,-0.25024375,1.346067142857143,0.7777777777777778
1201,female,22.02777778,12.0,secondary,0.1158749999769506,0.6388888888888888,,,,,,,0.3213049999999999,0.2724499999999999,0.770925,,9.0,2.0,-1.8769708466666666,0.0536849999999999,0.40937,0.6923076923076923,343.0,0.6573984999817462,0.1160275,0.210711875,1.0
1202,female,22.98888889,16.0,secondary,0.4613887499552227,0.9027777777777778,,,,,,,0.2579525,0.2670075,0.81218,,7.0,7.0,1.348952769,0.0058974999999999,0.1129099999999998,1.0,337.0,0.3750245000268963,-0.0654865,0.0064474999999999,0.8333333333333334
1203,female,21.41388889,14.0,secondary,0.2075112501974243,0.7638888888888888,,,,,,,0.304035,0.2827225,1.018795,,6.0,4.0,1.533272607,0.050075,0.1381075,0.7692307692307693,243.0,0.7234929998042732,0.4459261111111112,0.58949125,0.8888888888888888
1204,female,20.85555556,15.0,secondary,0.47820875002943986,0.7083333333333333,,,,,,,0.2774375,0.24595,0.865945,,7.0,6.0,0.9601079503333333,0.0176224999999999,0.1632725,0.8461538461538461,285.0,0.2485975000368431,0.1046561111111111,0.0768218749999999,0.8888888888888888
1205,female,20.70277778,14.0,secondary,0.1663700000150139,0.6805555555555556,,,,,,,0.2683999999999999,0.2558,0.6951575,,9.0,6.0,0.850245165,0.0201374999999999,0.114175,1.0,339.0,0.8316160000324753,0.0842064999999999,0.336405625,0.8333333333333334
1206,female,20.45555556,13.0,secondary,0.05450499990256455,0.5277777777777778,,,,,,,0.2707575,0.27912,1.0619425,,6.0,5.0,-0.737589825,0.0346724999999999,0.3420999999999999,,286.0,0.9118054999096992,0.4936075,0.3720628571428571,0.8333333333333334
1207,female,22.35833333,15.0,secondary,0.18805999996838935,0.6944444444444444,,,,,,,0.2551449999999999,0.257445,0.774585,,6.0,4.0,0.8505696136666668,0.02071,0.1671,0.8461538461538461,285.0,0.5600789998420104,0.1406366666666666,0.1066542857142857,0.8888888888888888
1208,female,22.12777778,15.0,secondary,0.1402812499931304,0.4444444444444444,,,,,,,0.32036,0.260015,0.996585,,9.0,6.0,0.7815572196666668,0.0912574999999999,0.2181299999999999,0.7692307692307693,273.0,0.3516009999993108,0.187979,0.315280625,0.9444444444444444
1209,female,53.66944444,16.0,BA_BSc,0.1267737499981729,0.625,,,,,,,0.2857349999999999,0.270705,1.1335925,,3.0,6.0,3.803971439333333,-0.0081575,0.1670349999999999,0.8461538461538461,370.0,0.7207070000035132,0.085819375,0.132016875,0.8333333333333334
1210,female,20.30555556,14.0,secondary,0.08466750001534845,0.611111111111111,,,,,,,0.248995,0.2710175,0.7783625000000001,,7.0,4.0,4.741522581666667,0.0602599999999999,0.284065,1.0,330.0,1.0391584999263137,0.0092704999999999,0.1094212499999999,0.8333333333333334
1211,female,21.81944444,14.0,secondary,0.35787999997846853,0.5138888888888888,,,,,,,0.2549875,0.3502225,0.7505625,,7.0,4.0,1.8769708466666666,0.06323,0.38404,0.4615384615384615,258.0,1.107909000049025,-0.318665625,-0.0398749999999999,0.4444444444444444
1212,female,22.16944444,14.0,secondary,0.34802999999665113,0.8611111111111112,,,,,,,0.2715675,0.30097,0.82976,,7.0,6.0,4.405352505666667,0.0521599999999999,0.047705,1.0,263.0,1.0275299999852243,0.0182724999999999,0.24172875,0.8333333333333334
1213,female,24.98333333,17.0,BA_BSc,-0.00727999999723655,0.7083333333333334,,,,,,,0.283985,0.2360249999999999,0.6251075,,7.0,8.0,2.4325948573333336,0.063665,0.1071549999999999,1.0,224.0,0.7319830000036625,-0.0904656249999999,0.30391,0.7777777777777778
1214,female,22.18611111,15.0,secondary,0.3404737499658961,0.6805555555555556,,,,,,,0.3055525,0.273905,0.837755,,,,3.226827344666667,0.0829599999999999,0.26234,0.7692307692307693,376.0,0.3711190000905988,0.2509344444444444,0.0177312499999999,0.9444444444444444
1215,female,22.38055556,15.0,secondary,0.287778749995415,0.6388888888888888,,,,,,,0.2536475,0.2757075,,,6.0,5.0,4.127555070666667,0.0274175,0.0809699999999999,0.6153846153846154,,0.7912765000001931,0.0111422222222222,-0.016305,0.6111111111111112
1234,male,22.68,15.0,secondary,,,,,,,,,,,,,,,,,,,,,,,
1305,male,20.02777778,14.0,secondary,0.16997250005369705,0.8194444444444444,,,,,,,0.2612974999999999,0.2870975,1.01623,,5.0,4.0,2.3844811910000003,0.07246,0.197695,0.8461538461538461,,0.8809349999901279,-0.1123938888888888,0.0961025,0.8888888888888888
1306,female,26.825,18.0,BA_BSc,,,,,0.159075,0.51875,,,0.28173,0.3156124999999999,0.827435,,10.0,10.0,-2.0805095576666663,0.0270575,0.2057399999999999,0.5384615384615384,313.0,0.6536530000455789,0.125361875,0.1963628571428571,0.6666666666666666
1307,female,24.26944444,16.0,BA_BSc,0.019248750066616048,0.33333333333333337,,,,,,,0.3187675,0.4034575,1.004795,,4.0,3.0,-0.8978848843333332,0.07839,0.3396325000000001,,318.0,0.3926594999630077,0.041533125,0.0370749999999999,0.6666666666666666
1308,female,32.94722222,7.0,BA_BSc,0.2845399999525382,0.6527777777777777,,,,,,,0.27496,0.283615,1.0144125000000002,,7.0,6.0,2.3481458230000003,0.0322125,0.5909424999999999,0.7692307692307693,339.0,0.0966970000480189,0.1273395,0.2671714285714285,0.7222222222222222
1309,female,22.17222222,15.0,secondary,0.045592499999848005,0.6388888888888888,,,,,,,0.279115,0.2860899999999999,0.699315,,8.0,4.0,0.5397896166666667,0.076525,0.5017574999999999,0.8461538461538461,304.0,0.6418670000001923,-0.17629,0.156755625,0.9444444444444444
1310,female,28.89444444,22.0,BA_BSc,0.0853149999864384,0.6527777777777777,,,,,,,0.26915,0.2721875,0.8032175,,9.0,6.0,2.669144147666666,0.0312149999999999,0.4471199999999999,0.3846153846153846,160.0,0.2629330000080747,-0.0004792857142857,0.3051685714285714,0.8888888888888888
1312,female,20.84722222,14.0,secondary,0.22574249990284473,0.5277777777777779,,,,,,,0.220775,0.26799,0.7578875,,7.0,6.0,0.8838587036666666,0.07224,0.332965,0.6153846153846154,,0.9754029999854712,-0.1196816666666666,0.0631221428571428,0.3888888888888889
1313,female,19.63611111,13.0,secondary,0.2243637499341244,0.7638888888888888,,,,,,,0.3067525,0.3794674999999999,1.079045,,2.0,5.0,3.4692787366666664,0.1170525,0.41195,0.9230769230769232,185.0,0.6120429999962376,-0.1124685,0.0478475,0.8333333333333334
1314,female,24.71388889,17.0,BA_BSc,0.2797499999999764,0.75,,,,,,,0.2855,0.2835,0.9865,,9.0,7.0,2.5002460783333333,0.068,0.0925,0.9230769230769232,206.0,0.9894340000000104,0.2685,0.353125,0.7777777777777778
1315,female,19.93333333,13.0,secondary,0.30997000000788644,0.7638888888888888,,,,,,,0.26971,0.2539949999999999,1.0236975,,7.0,5.0,2.6996622443333336,0.0341575,0.2327025,0.9230769230769232,353.0,0.4813050000133319,0.0395316666666666,0.291691875,0.8333333333333334
1316,female,24.98611111,18.0,MA_MSc,0.17525125000143982,0.5972222222222222,,,,,,,0.2766975,0.2543375,1.0046525,,7.0,4.0,3.9343206369999995,0.1365225,0.6097549999999999,0.4615384615384615,244.0,0.4148295000003821,0.189377,0.26171125,0.5555555555555556
1317,female,45.58888889,16.0,BA_BSc,0.1737949999955157,0.4722222222222222,,,,,,,0.3626325,,1.15334,,5.0,3.0,-0.9388167446666666,0.0846325000000001,0.1588024999999999,0.7692307692307693,225.0,-0.1166949999926181,0.5865733333333334,0.5573542857142857,0.7222222222222222
1318,female,19.99166667,13.0,secondary,0.16649124996038006,0.5972222222222222,,,,,,,0.2628425,0.29285,0.784705,,7.0,6.0,3.810234000666666,0.054485,0.1704149999999999,0.9230769230769232,447.0,0.3432870000268964,-0.1440515,-0.0949512499999999,0.8888888888888888
1320,female,20.01388889,13.0,secondary,0.3410837500996382,0.6111111111111112,,,,,,,0.2810425,0.28223,0.809075,,6.0,6.0,2.646889522666667,-0.0234324999999999,0.2499674999999999,0.9230769230769232,313.0,0.4414940000991298,-0.0951849999999999,0.1363131249999999,0.6666666666666666
1321,female,19.46111111,13.0,secondary,-0.020500000000063245,0.625,,,,,,,0.354,,1.1015,,7.0,4.0,1.676756924333333,0.0419999999999999,0.25,1.0,231.0,0.9716899999999762,-0.0116999999999999,0.181,0.8888888888888888
1322,female,20.59722222,14.0,secondary,0.38959750003414406,0.7638888888888888,,,,,,,0.27578,0.284525,0.824715,,7.0,2.0,2.643730396,0.07762,0.2676849999999999,0.7692307692307693,370.0,0.8780304999837392,0.286111,0.042069375,0.7222222222222222
1323,female,21.66111111,13.0,secondary,,0.6805555555555556,,,,,,,0.29655,0.2895,0.8362,,6.0,7.0,1.1136169156666667,0.0341499999999999,0.2337,1.0,364.0,1.11880099999996,0.02979,-0.06185,0.8888888888888888
1324,female,19.725,13.0,secondary,0.15541499999526293,0.6527777777777778,,,,,,,0.2740025,0.2803225,0.8276675,,3.0,6.0,2.887251650333333,0.0426099999999999,0.20855,0.9230769230769232,286.0,0.225881999993369,0.0071735,0.0307881249999999,0.7222222222222222
