random_ID,ID,birth_date,forward_span,backward_span
6762262577,BL211,1954.05.29,2,2
9130183417,FF211,2007.01.07,2,2
9531264260,FF170_2,2002.07.13,2,2
6249749199,FF170_1,1999.07.24,2,2
3487653258,FF169_2,2001.03.08,2,2
5407853943,FF169_1,1997.02.17,2,2
7311163541,FF168_1,2005.01.11,2,2
6828460290,FF168_2,2000.11.02,2,2
3445166737,KOR163,1995.03.12,6,5
1586595556,FF164,2004.12.22,7,4
6477474917,KOR168,1966.07.14,7,5
9633511143,KOR175,1941.06.12,6,10
9548733493,KOR177,,6,4
6124171445,FF207,2003.12.27,9,8
5879316694,FF205,2004.05.20,6,7
2987431698,BL185,1980.06.03,8,9
5097899525,FF141,2005.02.01,7,4
2631356351,FF129,2004.08.09,7,2
9901181223,FF144,2000.08.17,8,8
3305947639,FF148,2002.10.24,5,4
9890114940,FF149,2002.02.13,9,7
5187157280,FF150,2004.08.07,6,4
9605588002,FF147,1986.01.08,6,5
2016891784,FF135,2003.01.27,7,5
8548078229,FF151,2005.04.24,8,9
6250497533,FF152,2002.04.22,5,6
7801884069,FF119,2004.12.20,5,5
9594504742,FF125,1998.07.28,8,6
6315299703,FF123,1995.03.08,7,7
2597479978,FF157,2003.05.13,6,5
8803988110,FF155,2002.06.25,8,5
6441249790,FF120,2000.11.06,9,7
5424143292,FF134,2003.05.10,7,7
8847657096,FF167,2001.11.30,9,6
6261742581,FF143,2002.11.25,5,5
6738165138,FF132,2002.11.25,6,4
9826667979,FF142,1996.03.29,10,9
8108506117,160,2004.06.18,7,5
1298003918,FF163,2003.08.08,9,9
8344250250,KOR166,1975.06.12,7,2
4998264811,FF138,2000.05.15,5,5
9827834216,KOR167,1950.12.17,6,4
7006743530,FF145,2005.09.16,7,7
5803673358,FF133,2002.05.13,9,9
3539038565,FF127,2001.09.20,5,3
8253300512,FF166,2002.07.24,7,5
8088051655,FF121,2001.07.21,9,9
8509729379,KOR169,,6,2
9495970434,FF124,2001.09.27,5,4
7050352158,FF118,2005.05.30,8,5
2377520576,FF156,2003.06.20,5,4
6382710194,FF158,1998.01.06,10,10
8511780507,FF171,2006.03.29,9,8
3852737651,FF201,2001.10.20,7,8
8721795010,FF140,2001.01.20,7,6
4461235052,FF159,2000.02.05,7,3
7097089119,FF202,1997.10.26,8,6
5808738932,FF128,2000.11.11,9,5
1141626143,FF162,2003.12.03,8,7
6570442659,FF165,2004.09.09,8,6
7026350796,FF146,2002.12.06,6,10
8612155891,FF999,1999.01.07,9,8
4699727083,KOR170,1991.03.12,7,6
