ID,nback_1_dprime,nback_2_dprime,nback_3_dprime,nback_1_2_mean_dprime,nback_1_2_3_mean_dprime
1,-0.253347103,-0.608420237,0,-0.43088367,-0.28725578
6,0.317220721,-0.607061815,-0.27105341,-0.144920547,-0.186964835
7,2.123172799,0.63866757,0.27105341,1.380920184,1.010964593
8,-4.011543691,-1.120453114,-3.740490281,-2.565998403,-2.957495695
10,4.518237897,-0.363302061,-4.011543691,2.077467918,0.047797382
13,0,0,-0.439930332,0,-0.146643444
18,-0.524400513,-0.800151097,-4.789291307,-0.662275805,-2.037947639
20,-2.123172799,0,0,-1.0615864,-0.707724266
160,5.546442359,1.666872032,0,3.606657196,2.40443813
194,8.529781588,0.67448975,-0.757151053,4.602135669,2.815706762
200,5.546442359,-0.63866757,-4.518237897,2.453887395,0.129845631
1001,4.789291307,2.563103131,0.58827413,3.676197219,2.646889523
1002,2.563103131,1.366021746,1.805952078,1.964562439,1.911692319
1004,2.563103131,1.048801025,-0.524400513,1.805952078,1.029167881
1005,8.529781588,1.956041316,0.439930332,5.242911452,3.641917745
1006,2.563103131,1.048801025,0.253347103,1.805952078,1.288417087
1008,5.546442359,1.560833902,0.841621234,3.553638131,2.649632498
1102,2.123172799,2.317984955,-1.534898669,2.220578877,0.968753028
1103,5.546442359,2.123172799,0.841621234,3.834807579,2.837078797
1201,0.253347103,-1.366021746,-4.518237897,-0.556337322,-1.876970847
1202,0.757151053,3.289707254,0,2.023429153,1.348952769
1203,5.106512027,-0.506694206,0,2.299908911,1.533272607
1204,2.563103131,0.58827413,-0.27105341,1.575688631,0.960107951
1205,-0.524400513,2.317984955,0.757151053,0.896792221,0.850245165
1206,-2.983339228,-0.510981813,1.281551566,-1.747160521,-0.737589825
1207,2.563103131,0.25965912,-0.27105341,1.411381125,0.850569614
1208,8.529781588,-0.63866757,-5.546442359,3.945557009,0.78155722
1209,8.529781588,1.516110984,1.366021746,5.022946286,3.803971439
1210,5.106512027,8.529781588,0.58827413,6.818146808,4.741522582
1211,5.106512027,0.841621234,-0.317220721,2.974066631,1.876970847
1212,5.546442359,2.123172799,5.546442359,3.834807579,4.405352506
1213,5.106512027,0.909720979,1.281551566,3.008116503,2.432594857
1214,8.529781588,1.421753856,-0.27105341,4.975767722,3.226827345
1215,8.529781588,2.317984955,1.534898669,5.423883271,4.127555071
1302,2.123172799,1.155890219,0.757151053,1.639531509,1.34540469
1303,0.524400513,-0.65006186,-5.546442359,-0.062830673,-1.890701235
1305,5.106512027,1.289780493,0.757151053,3.19814626,2.384481191
1306,-0.524400513,-1.198890263,-4.518237897,-0.861645388,-2.080509558
1307,4.264890794,-2.16925414,-4.789291307,1.047818327,-0.897884884
1308,5.546442359,1.2269417,0.27105341,3.38669203,2.348145823
