ID,old_ID,experiment_version,gram_ACC_mean,gram_RT_median,pragm_ACC_mean,pragm_RT_median
1,1,adult_trog,0.882352941,5.5635,0.555555556,9.50953
7,7,adult_trog,0.764705882,4.707575,0.777777778,6.4403925
20,20,adult_trog,0.764705882,5.35791,0.722222222,6.896925
24,24,adult_trog,1,6.60753,0.888888889,7.7780975
113,113,adult_trog,0.941176471,7.703285,0.888888889,9.2318525
137,137,adult_trog,1,5.2442,0.888888889,7.2413775
200,200,adult_trog,0.882352941,4.969055,0.833333333,8.3789425
337,337,adult_trog,0.941176471,4.70357,0.444444444,4.397925
1001,1001,adult_trog,0.705882353,3.845185,0.722222222,4.3514725
1002,1002,adult_trog,1,5.888,0.777777778,7.1525
1004,1004,adult_trog,0.941176471,4.3747,0.888888889,5.82155
1005,1005,adult_trog,1,4.211495,0.777777778,3.5054125
1102,1102,adult_trog,1,5.61149,0.833333333,7.052075
1103,1103,adult_trog,0.823529412,4.260645,0.777777778,6.78981
1201,1201,adult_trog,0.882352941,4.6447,1,5.7421875
1202,1202,adult_trog,1,3.88964,0.833333333,6.62729
1203,1203,adult_trog,0.941176471,4.82867,0.888888889,6.776695
1204,1204,adult_trog,0.941176471,4.00637,0.888888889,4.25669
1205,1205,adult_trog,0.941176471,4.04885,0.833333333,6.9772875
1206,1206,adult_trog,1,3.879095,0.833333333,4.15822
1207,1207,adult_trog,1,4.691115,0.888888889,5.8151875
1208,1208,adult_trog,1,5.242005,0.944444444,6.2557975
1209,1209,adult_trog,1,4.534255,0.833333333,8.21641
1210,1210,adult_trog,0.882352941,3.51106,0.833333333,4.7903025
1211,1211,adult_trog,0.882352941,4.482455,0.444444444,4.6770325
1212,1212,adult_trog,1,3.60431,0.833333333,5.267575
1213,1213,adult_trog,0.882352941,3.312295,0.777777778,4.337075
1214,1214,adult_trog,0.882352941,3.80449,0.944444444,5.3812125
1215,1215,adult_trog,0.941176471,3.93567,0.611111111,4.1353425
1303,1303,adult_trog,1,4.51446,1,5.5003125
1304,1304,adult_trog,0.882352941,4.168775,0.722222222,4.2518425
1305,1305,adult_trog,0.823529412,3.692375,0.888888889,5.216295
1306,1306,adult_trog,0.941176471,4.241205,0.666666667,5.1500675
1307,1307,adult_trog,0.705882353,4.168785,0.666666667,4.7820525
1308,1308,adult_trog,1,5.61038,0.722222222,8.174405
1309,1309,adult_trog,1,4.83396,0.944444444,5.963185
1310,1310,adult_trog,0.764705882,4.11153,0.888888889,5.6110825
1312,1312,adult_trog,0.941176471,4.41607,0.388888889,3.9696325
1313,1313,adult_trog,0.941176471,4.06066,0.833333333,4.9571575
1314,1314,adult_trog,1,4.633,0.777777778,5.226
1315,1315,adult_trog,0.941176471,3.93254,0.833333333,4.9567825
1316,1316,adult_trog,0.941176471,5.095195,0.555555556,6.613695
1317,1317,adult_trog,0.941176471,5.091255,0.722222222,5.79357
1318,1318,adult_trog,1,3.59937,0.888888889,5.01546
1320,1320,adult_trog,1,3.977785,0.666666667,4.84791
1321,1321,adult_trog,0.882352941,6.813,0.888888889,7.6085
1322,1322,adult_trog,0.705882353,3.202545,0.722222222,3.3002525
1323,1323,adult_trog,0.941176471,3.8632,0.888888889,5.0793
1324,1324,adult_trog,0.882352941,4.25205,0.722222222,5.3436275
1325,1325,adult_trog,1,4.54714,0.777777778,6.4870575
1327,1327,adult_trog,1,2.623,0.777777778,7.2285
1328,1328,adult_trog,0.823529412,4.082645,0.722222222,6.290685
1329,1329,adult_trog,0.823529412,5.699315,1,6.6931425
1331,1331,adult_trog,1,3.68728,0.833333333,4.2879325
1332,1332,adult_trog,0.941176471,4.184235,0.833333333,6.0333425
1334,1334,adult_trog,1,4.020715,0.888888889,6.450675
1335,1335,adult_trog,1,4.942245,0.833333333,6.3752975
1336,1336,adult_trog,0.941176471,4.71849,0.777777778,7.3514275
1337,1337,adult_trog,0.529411765,6.31214,0.388888889,6.9837875
1338,1338,adult_trog,1,4.596695,0.555555556,6.6502775
1339,1339,adult_trog,0.882352941,3.702,0.5,5.3225
1341,1341,adult_trog,0.882352941,4.704465,0.833333333,5.291675
1342,1342,adult_trog,1,3.779645,0.888888889,4.516905
1343,1343,adult_trog,1,4.234,0.777777778,5.0895
1344,1344,adult_trog,0.941176471,4.68623,0.722222222,7.16351
1345,1345,adult_trog,1,3.832345,0.722222222,4.4949275
1346,1346,adult_trog,1,3.90579,0.777777778,3.856025
1347,1347,adult_trog,0.941176471,5.14101,0.611111111,5.826375
1348,1348,adult_trog,0.941176471,4.23045,0.833333333,5.02751
1349,1349,adult_trog,0.882352941,4.078,0.777777778,3.7685
